Date,Title,Source,Keyword
2024-11-29,Döviz piyasası uzmanları kendinden emin: Sahte dolar krizi 2 haftaya çözülür - Ensonhaber,Google News,döviz krizi
2024-11-29,İsrail ile ticaret: Cumhurbaşkanı Erdoğan İstanbul’da protesto edildi - Medyascope,Google News,protesto Türkiye
2024-11-29,"Sahte dolar krizi büyüyor: İşletmeci parasını bozduramıyor, döviz büroları komisyon istiyor - 10haber.net",Google News,döviz krizi
2024-11-29,Sahte dolar krizi büyüyor! Döviz büroları bu durumu fırsata çevirdi - Mynet Finans,Google News,döviz krizi
2024-11-29,'Sahte dolar' krizi Meclis gündeminde... CHP'li Deniz Demir: Döviz işlemleri durma noktasında - Cumhuriyet,Google News,döviz krizi
2024-11-29,Krizi fırsata çevirdiler! Döviz büroları dolar bozmak için komisyon mu istiyor? - Ekonomim,Google News,döviz krizi
2024-11-30,SON DAKİKA | Suriye'de Esed'e askeri darbe iddiası! Esed'den ilk açıklama - Sabah,Google News,askeri darbe girişimi
2024-11-30,Sahte dolar krizi çıkınca fırsatçılara gün doğdu - Ensonhaber,Google News,döviz krizi
2024-11-30,Suriye'de son dakika: Askeri darbe - Zafer Gazetesi,Google News,askeri darbe girişimi
2024-11-30,"Sahte dolar krizi: Fırsatçılara gün doğdu! Komisyon alıp, ucuza bozuyorlar - NTV Haber",Google News,döviz krizi
2024-12-02,"Morning Bid: Notre-Dame rebuilt, as Paris nears collapse - Reuters",Reuters,currency crisis
2024-12-02,'Erdoğan'ı protesto edip tutuklananlar bizden bağımsız hareket etti' - Euronews.com,Google News,protesto Türkiye
2024-12-02,Erdoğan konuşurken İsrail’le ticareti protesto eden 9 kişi tutuklandı - Medyascope,Google News,protesto Türkiye
2024-12-02,Erdoğan’ı İsrail'le devam eden ticaret için protesto eden 9 kişi tutuklandı - Bianet,Google News,protesto Türkiye
2024-12-03,Enflasyon rakamları açıklandı - Anadolu Ajansı,Google News,enflasyon
2024-12-03,"Enflasyon çok yüksek, yoksulun enflasyonu daha da yüksek! - Devrimci İşçi Sendikaları Konfederasyonu",Google News,enflasyon
2024-12-03,Türkiye destekli isyancılar Esad rejimini devirir mi? - DW,Google News,protesto Türkiye
2024-12-03,"Enflasyon: Kasım'da TÜİK'e göre yıllık yüzde 47, ekonomistler nasıl değerlendirdi? - BBC",Google News,enflasyon
2024-12-04,"Güney Koreli uzmana göre, ülkesindeki sıkıyönetim ilanı ""sivil darbe girişimi"" - Anadolu Ajansı",Google News,askeri darbe girişimi
2024-12-04,"Ticaret Bakanı Ömer Bolat, Kasım Ayı Enflasyon Verilerini Değerlendirdi - T.C. Ticaret Bakanlığı",Google News,enflasyon
2024-12-06,Suriye'nin başkenti Şam'da askeri darbe girişimi - Mepa News,Google News,askeri darbe girişimi
2024-12-09,"Rusya’da ambargo, Türkiye’de sahte döviz krizi: Rus turist ne yapacak? - Gazete Duvar",Google News,döviz krizi
2024-12-09,Rusya’dan Türkiye’ye turist akışı tehlikede: Ambargo ve döviz krizi - Turizm Güncel,Google News,döviz krizi
2024-12-10,Turkey's 3m Syrian refugees face big decision on going home or staying - BBC,BBC News,inflation Turkey
2024-12-10,Rus Turist Sayısında Ciddi Düşüş Yaşanabilir - Turizm Proje Dergisi,Google News,döviz krizi
2024-12-12,RSF: Türkiye'de adli kontrol hızla yaygınlaşıyor - DW,Google News,protesto Türkiye
2024-12-16,Christmas dinner set to cost less at the supermarket this year - BBC,BBC News,inflation Turkey
2024-12-16,Christmas dinner set to cost less at the supermarket this year - BBC,BBC News,interest rate Turkey
2024-12-18,Kocaeli'de dolar krizi çözüldü - Özgür Kocaeli,Google News,döviz krizi
2024-12-18,UK inflation rate – will prices keep rising? - BBC,BBC News,inflation Turkey
2024-12-18,UK inflation rate – will prices keep rising? - BBC,BBC News,interest rate Turkey
2024-12-19,"Putin says he should have launched full Ukraine invasion earlier, as he holds marathon live event - BBC",BBC News,interest rate Turkey
2024-12-20,Kenya cabinet reshuffle: President William Ruto reaches out to Uhuru Kenyatta - BBC,BBC News,cabinet reshuffle
2024-12-20,Suriye’de iki gazetecinin öldürülmesini protesto etmek isteyenlere Diyarbakır polisi izin vermedi - VOA Türkçe,Google News,protesto Türkiye
2024-12-22,Kent turkey farmer fears for industry's future - BBC,BBC News,inflation Turkey
2024-12-22,Kent turkey farmer fears for industry's future - BBC,BBC News,currency crisis Turkey
2024-12-23,"Erdoğan, Kongre'yi öne çekiyor: Beklenen Kabine değişikliği için tarih belli oluyor - Kısa Dalga",Google News,kabine değişikliği
2024-12-23,AKP kulisi: Kabine değişikliği için tarih belli oldu - Veryansın TV,Google News,kabine değişikliği
2024-12-23,"Erdoğan yönetiminde kritik gelişmeler: Yükselen oy oranları, kabine değişikliği iddiası - Yetkin Report",Google News,kabine değişikliği
2024-12-25,Yargıtay’dan ‘15 Temmuz darbe girişimi’ kararı: Müebbet alan 31 asker tahliye edildi - rudaw.net,Google News,askeri darbe girişimi
2024-12-25,15 Temmuz darbe girişimi nedeniyle müebbet hapse çarptırılan 31 er için tahliye kararı verildi - Euronews.com,Google News,askeri darbe girişimi
2024-12-25,Darbe girişiminden müebbet alan 31 ere tahliye kararı - Diken,Google News,askeri darbe girişimi
2024-12-25,Asgari ücret: Protesto kararı alan CHP'nin eylem planında ne var? - BBC,Google News,protesto Türkiye
2024-12-26,"Asgari ücrete sokaktan tepki: “İnsanlar açlığa, yoksulluğa mahkum ediliyor” - VOA Türkçe",Google News,protesto Türkiye
2024-12-26,Sahte dolar fırsatçılığı: 2 dolar kesinti yapıyorlar - Gazete Duvar,Google News,döviz krizi
2024-12-26,Sahte dolar fırsatçılığı: 100 dolar 98 dolar olarak bozuluyor - NTV Haber,Google News,döviz krizi
2024-12-27,100 dolar 98 dolara bozuluyor - Ekonomim,Google News,döviz krizi
2024-12-27,50 ve 100 dolar krizi! ATM'ler kabul etmiyor döviz büroları komisyon istiyor - Hür Haber,Google News,döviz krizi
2024-12-27,Sahte dolar krizi devam ediyor! Ne banka ne döviz bürosu çareyi bulamayınca uyanıklar işbaşına geçti - Gerçek Haberci,Google News,döviz krizi
2024-12-27,ATM'ler 50 dolar ve 100 dolar almıyor! Kriz fırsatçılığı hala devam ediyor - Milliyet,Google News,döviz krizi
2024-12-28,Sahte dolar krizi yaşanmıştı: Bankalar yeniden alıma başladı - T24,Google News,döviz krizi
2024-12-28,Hükümet ve işveren kararıyla belirlenmiş asgari ücret seçim çağrısıyla protesto edildi - VOA Türkçe,Google News,protesto Türkiye
2024-12-28,Sahte dolar krizi gündem olmuştu! Türkiye Bankalar Birliği'nden yeni açıklama - Mynet Finans,Google News,döviz krizi
2024-12-28,'Sahte dolar krizi'nde son dakika: Bankalar döviz kabul etmeye başladı mı? TBB son durumu açıkladı! - Dünya Gazetesi,Google News,döviz krizi
2024-12-29,ATM’lerde döviz işlemleri normale döndü - Kocaeli Fikir Gazetesi Son Dakika Kocaeli Haberleri - kocaelifikir.com,Google News,döviz krizi
2024-12-29,"TBB'den 'sahte dolar' açıklaması: Güncelleme bitti, döviz kabul ediyoruz - Diken",Google News,döviz krizi
2024-12-29,Sahte dolar krizi sonrası ATM'lerde yeni dönem başladı - Halk TV,Google News,döviz krizi
2024-12-29,Sahte dolar krizi sonrası yeni dönem: İşlemler yeniden başladı - 12punto,Google News,döviz krizi
2024-12-30,"ATM’LERDE DURDURULMUŞTU, YENİDEN BAŞLADI - Denizli Yeni Olay Haber",Google News,döviz krizi
