Date,Title,Source,Keyword
2024-07-01,İran'da cumhurbaşkanı seçimi ikinci tura kaldı - BBC,Google News,Türkiye seçimi
2024-07-02,Kabine değişikliği: Sağlık Bakanı ve Çevre Bakanı istifa etti - Yetkin Report,Google News,kabine değişikliği
2024-07-02,Kayseri'deki gerginlik Suriye'ye sıçradı - DW,Google News,protesto Türkiye
2024-07-02,"Kabine değişikliği: İki bakan ""görevden affını"" istedi, Murat Kurum geri döndü - Medyascope",Google News,kabine değişikliği
2024-07-03,"Erdoğan’ın sınırlı kabine değişikliği AKP'de nasıl yorumlandı, parti kulislerinde neler konuşuluyor? - BBC",Google News,kabine değişikliği
2024-07-05,"İngiltere seçimleri: İşçi Partisi seçimi büyük farkla kazandı, yeni başbakan Keir Starmer - BBC",Google News,Türkiye seçimi
2024-07-05,Turkey's stray dogs face euthanasia under possible government bill - BBC,BBC News,inflation Turkey
2024-07-05,Turkey's stray dogs face euthanasia under possible government bill - BBC,BBC News,currency crisis Turkey
2024-07-06,"Türk asıllı, reformist Pezeşkiyan İran'ın yeni Cumhurbaşkanı oldu - Euronews.com",Google News,Türkiye seçimi
2024-07-08,"CHP kulislerinde, Özgür Özel'in '1,5 yıl sonra erken seçim olur' tahminiyle ilgili neler konuşuluyor? - BBC",Google News,Türkiye seçimi
2024-07-09,Özgür Özel'den ışıklı protesto çağrısı: Ya zam ya seçim - DW,Google News,protesto Türkiye
2024-07-09,"Özel asgari ücret için protesto çağrısı yaptı: 21.00'de ışıkları açın, kapatın - Gazete Oksijen",Google News,protesto Türkiye
2024-07-11,William Ruto: Kenyan President fires ministers over anti-tax protests - BBC,BBC News,cabinet reshuffle
2024-07-14,Darbe değil işgal girişimi - Yeni Şafak,Google News,askeri darbe girişimi
2024-07-14,Temmuz aylarında 16 darbe yaşandı - Yeni Şafak,Google News,askeri darbe girişimi
2024-07-14,15 Temmuz darbe girişiminin üzerinden 8 yıl geçti - DW,Google News,askeri darbe girişimi
2024-07-15,"Darbe girişiminin ""dilsiz şahitleri"" Hafıza 15 Temmuz Müzesi'nde sergileniyor - Anadolu Ajansı",Google News,askeri darbe girişimi
2024-07-15,İstanbul'da verilen mücadele 15 Temmuz'un dönüm noktalarından biri oldu - Anadolu Ajansı,Google News,askeri darbe girişimi
2024-07-15,15 Temmuz darbe girişiminin 8. yılı: Milletin zaferi! - NTV Haber,Google News,askeri darbe girişimi
2024-07-15,15 Temmuz darbesi yaşananlar...15 Temmuz gecesi neler yaşandı? 15 Temmuz Demokrasi ve Milli Birlik Günü anlam ve önemi - Hürriyet,Google News,askeri darbe girişimi
2024-07-15,Malatya'daki darbe girişimi sırasında askeri üste yaşananlar güvenlik kamerasında - Habertürk,Google News,askeri darbe girişimi
2024-07-15,"15 Temmuz hangi yıl oldu, önemi nedir? 15 Temmuz darbe girişiminde kaç kişi öldü, ne oldu? - Haberler",Google News,askeri darbe girişimi
2024-07-17,Vaughan Gething: Jeremy Miles likely to bid to be Wales first minister - BBC,BBC News,cabinet reshuffle
2024-07-19,Erken Seçim Kararı Nasıl Alınır? - Doğruluk Payı,Google News,Türkiye seçimi
2024-07-20,Türkiye’de darbe tehlikesi devam ediyor mu? Kamuoyunun yarısı hâlâ endişeli! - Demokrat Kocaeli,Google News,askeri darbe girişimi
2024-07-22,Tanzania's information minister Nape Nnauye sacked in cabinet reshuffle - BBC,BBC News,cabinet reshuffle
2024-07-25,Af Örgütü'nden Akdeniz: Türkiye’de LGBTİ+’ların protesto hakkı ihlal ediliyor - Bianet,Google News,protesto Türkiye
2024-07-29,Nigeria’s inflation and insecurity fuelling child hunger in North - BBC,BBC News,inflation Turkey
2024-07-30,Turks eye property investments abroad as domestic market loses appeal - Reuters,Reuters,Turkey central bank
2024-07-30,Turks eye property investments abroad as domestic market loses appeal - Reuters,Reuters,inflation Turkey
2024-07-30,Turks eye property investments abroad as domestic market loses appeal - Reuters,Reuters,Erdogan
2024-07-30,Turks eye property investments abroad as domestic market loses appeal - Reuters,Reuters,Turkey president
2024-07-30,"İsrail'de aşırı sağcıların askeri üsleri basması, protesto mu yoksa darbe girişimi mi? - Anadolu Ajansı",Google News,askeri darbe girişimi
2024-07-30,Turks eye property investments abroad as domestic market loses appeal - Reuters,Reuters,interest rate decision
2024-08-01,Ortadoğu krizi ve FED'in faiz kararı döviz ve altını nasıl etkiler? - Kısa Dalga,Google News,döviz krizi
2024-08-02,Haniye’nin öldürülmesi Cuma namazından sonra Türkiye genelinde protesto edildi - VOA Türkçe,Google News,protesto Türkiye
2024-08-10,Sierra Leone'de darbe girişimi: ECOWAS bin 200 asker gönderecek - NTV Haber,Google News,askeri darbe girişimi
2024-08-16,Watch: Moment brawl breaks out in Turkish parliament - BBC,BBC News,Erdogan
